,Metropolitan Statistical Area,All Violent,Murder,Rape,Robbery,Assault,All Property,Burglary,Larceny,Car Theft
49,"Burlington, NC M.S.A.",0.29079330932226405,0.39655867724156435,0.1319030730795436,0.18387074178710705,0.3435237209143883,0.338677219679409,0.37438043054467535,0.33466975801212817,0.21182352965324172
50,"Canton-Massillon, OH M.S.A.",0.1765786229012961,0.1680333378142222,0.2681737975855621,0.31462326928016093,0.11273369087336142,0.22587323828335612,0.272133070917591,0.21293468231798018,0.1659831663238903
51,"Cape Coral-Fort Myers, FL M.S.A.",0.27591750795998393,0.3024600080655999,0.19741784447666794,0.2924420369375893,0.2753938227472955,0.2376426275784997,0.29460738521764535,0.21812138980369578,0.20676056415119393
52,"Cape Girardeau-Jackson, MO-IL M.S.A.2",0.3874144999013046,0.07393466863825778,0.2707943884414471,0.20926241565294565,0.4660510846492693,0.3288531839867685,0.2724920855230232,0.3609083958810423,0.16557265560750806
53,"Carson City, NV M.S.A.",0.2101922125179867,0.0,0.01572354513530983,0.10594457026780928,0.2723066867365992,0.18176676660478658,0.1830256458493244,0.1771235181335175,0.20853944392218368
54,"Casper, WY M.S.A.",0.13423980363942192,0.26213200699018663,0.1126854068030538,0.09076793761236554,0.1488212463087434,0.32598820868126394,0.2379548804804476,0.3621923602341238,0.23919091074539178
55,"Cedar Rapids, IA M.S.A.",0.13795875397999197,0.05377066810055111,0.1939237233354879,0.14563730182820064,0.12774355906329904,0.22454686082710404,0.2060025805969838,0.23330013671042224,0.17843532472081858
56,"Charleston-North Charleston-Summerville, SC M.S.A.",0.3674609009586307,0.40328001075413333,0.22624434389140255,0.3586938756450072,0.38216614753103634,0.31646481854537395,0.27023029350880046,0.32420735541226564,0.37753302216621043
57,"Charlottesville, VA M.S.A.",0.14561120948847261,0.20164000537706667,0.2707943884414471,0.11674332811879812,0.13796304378836297,0.2012026175970672,0.11962366653000174,0.23303317382512806,0.14928906385767873
58,"Chattanooga, TN-GA M.S.A.",0.37375450922728776,0.30918134157816884,0.22886493474728753,0.3490625510752064,0.39632439199388536,0.33526400835865355,0.3370070101191856,0.3280083983981209,0.37301740428600577
59,"Cheyenne, WY M.S.A.",0.14246440535414412,0.0,0.38959450724156586,0.07296458007424883,0.1378565908224769,0.26847648217817327,0.13172245873306615,0.3228725409857947,0.17720379257167182
60,"Chico, CA M.S.A.",0.2453076859260614,0.21508267240220444,0.3616415381121261,0.20634383244997567,0.24249985628849602,0.2364577303842478,0.298843757561745,0.20116289032834142,0.3548180958597259
61,"Cincinnati-Middletown, OH-KY-IN M.S.A.",0.2246389042255857,0.2822960075278933,0.28302381243557695,0.4611361460692525,0.1273177471997547,0.2954019445400907,0.291412155229299,0.30159178527234404,0.2142865939515352
62,"Clarksville, TN-KY M.S.A.",0.29136545552850557,0.39655867724156435,0.33106797812680144,0.19963109108314478,0.31435560826160175,0.23765147009487467,0.3044084839459438,0.21657046256532003,0.18623502833208133
63,"Cleveland, TN M.S.A.",0.3957106198918069,0.0,0.19130313247960296,0.10244227042424535,0.5283260696926276,0.2464939864698886,0.24901253032775872,0.24769070747961355,0.19923453435085262
64,"Cleveland-Elyria-Mentor, OH M.S.A.",0.29730147241826155,0.3293453421158755,0.28040322157969205,0.5994769898900284,0.18448298988058104,0.2507383943298953,0.3216770864672316,0.2152737856938912,0.33689246124436756
65,"Coeur d'Alene, ID M.S.A.",0.2051859332133732,0.18819733835192884,0.2882649941473469,0.051367064372271176,0.24856767534400273,0.21942704384597095,0.1991813030937724,0.2332238616003382,0.12602678992935115
66,"College Station-Bryan, TX M.S.A.",0.25567783591418936,0.24868933996504886,0.37911214381802594,0.1917509164351259,0.2604904075232439,0.32275184768800885,0.2886836442280144,0.3452592857954641,0.17802481400443632
67,"Colorado Springs, CO M.S.A.",0.3307005072076116,0.24868933996504886,0.5660476248711539,0.2655910714702657,0.322446033668944,0.28606424724807605,0.24732516168222748,0.2911039576357868,0.3507129886959034
68,"Columbia, MO M.S.A.",0.2920091200105273,0.1613120043016533,0.24546201016789237,0.24078311424502113,0.31435560826160175,0.26403753895791626,0.1633157440110978,0.3080116070377518,0.14805753170853198
69,"Columbia, SC M.S.A.",0.5127145190682023,0.356230676166151,0.3170914935620816,0.3546078591608493,0.5896429780430112,0.3460341933034206,0.34705941907128657,0.3317713038289342,0.4610035344972683
70,"Columbus, GA-AL M.S.A.",0.34171432167776133,0.4704933458798221,0.18868254162371798,0.5714585911415169,0.2697518155553332,0.515041208779062,0.5504411930486155,0.490436245322111,0.5931879851723532
71,"Columbus, IN M.S.A.",0.10155595160787383,0.0,0.30748266042383676,0.08376333792523766,0.08313976635703046,0.32186759605050747,0.19778114613258688,0.3610863711379051,0.34031338388088633
