,Metropolitan Statistical Area,All Violent,Murder,Rape,Robbery,Assault,All,Burglary,Larceny,Car Theft
36,"Brownsville-Harlingen-San Benito, TX M.S.A.",0.39804833456336214,0.44122837980938934,0.2384028062215781,0.2825110570164912,0.4508045067690857,0.5548393873372961,0.4796346410169117,0.6106676162219102,0.2544477945056756
37,"Bryan-College Station, TX M.S.A.",0.3753665386806236,0.44122837980938934,0.7519665605931715,0.21359755888504126,0.38011509359329354,0.5370495536355663,0.5103601082459651,0.5747572964800471,0.27203841702324105
38,"Buffalo-Niagara Falls, NY M.S.A.",0.3889412498528686,0.3265090010589481,0.2541562956194797,0.5705077656255356,0.32984139541412016,0.31731234439396766,0.31970834367132295,0.30726934139979406,0.38228792375753645
39,"Burlington, VT M.S.A.",0.15662467384178916,0.052947405577126724,0.2793618786561224,0.11554153666815234,0.1547766393181152,0.4157285601941371,0.3191313395919041,0.4680009674921005,0.1992109989568874
40,"Casper, WY M.S.A.",0.3117887774941595,0.4059301094246381,0.5650251530714053,0.08948469160352451,0.35523344094116455,0.37737137065142967,0.3431250925610709,0.3987884934330511,0.2687891937556653
41,"Cedar Rapids, IA M.S.A.",0.18953046105045904,0.04412283798093893,0.2173981536910426,0.18171220900332563,0.1868037922190607,0.369195284354208,0.3325466844383922,0.39436833939754656,0.2358487923533453
42,"Charlottesville, VA M.S.A.",0.3159986562754254,0.2823861630780092,0.32347164897024694,0.27291116672952304,0.3243546720087789,0.29573764777713635,0.2496985153685035,0.320721984116547,0.18845494951939515
43,"Chattanooga, TN-GA M.S.A.4",0.6635284454635971,0.4500529474055771,0.4011888633332284,0.6377069976343126,0.6929859259164746,0.5082963314898346,0.5605113794821194,0.4621806404391381,0.7447443813646967
44,"Cheyenne, WY M.S.A.",0.1872966478195833,0.3265090010589481,0.5566232920591911,0.11382727054547948,0.1634533181916781,0.3242072497044237,0.15987821367230393,0.39487624529603627,0.11865267035733622
45,"Chico-Paradise, CA M.S.A.",0.3010492908072568,0.35298270384751146,0.4053897938393355,0.23896869750059993,0.30381135879343135,0.3193368059532079,0.422751655520871,0.27282783060761734,0.4464880938375682
46,"Colorado Springs, CO M.S.A.",0.33575931177932644,0.3176844334627603,0.548221431046977,0.3102821682037919,0.31185004657334997,0.3719141264482602,0.3536073333371798,0.38379840583438357,0.3043065653357178
47,"Columbia, MO M.S.A.",0.2902238882268589,0.7942110836569007,0.2919646701744437,0.24959714746117181,0.29117913513927357,0.32005074650308496,0.2382546011266965,0.36183490752131753,0.1580915182948077
48,"Columbia, SC M.S.A.",0.6804538764821558,0.5471231909636428,0.356028860392577,0.780676792265231,0.6687422643579899,0.47387070497521705,0.42929103508761784,0.4814536102088535,0.49881179266370235
49,"Columbus, GA-AL M.S.A.",0.4034610358535611,1.0148252735615955,0.18379070964218577,0.5770219768916925,0.34744994959870373,0.43486803493536047,0.39471887399577227,0.4402308693125177,0.46900857234731763
50,"Corpus Christi, TX M.S.A.",0.5043262948169513,0.44122837980938934,0.5786781772162535,0.3925669420920903,0.5263426522565746,0.5413038569122306,0.5329113510165847,0.5536860652859494,0.4404378160289789
51,"Corvallis, OR M.S.A.",0.20061361131134264,0.0,0.28986420492139015,0.10319882058490758,0.2243176685253475,0.41015395590057685,0.38034185568358614,0.44487065833115286,0.18150833425768145
52,"Cumberland, MD-WV M.S.A.4",0.3454678077442865,0.2647370278856336,0.31506978795803275,0.10628449960571877,0.431409577522298,0.28439283903936463,0.3092741865684989,0.28519602559516266,0.20963092184945797
53,"Dallas, TX M.S.A.",0.5775266360748803,0.7500882456759619,0.3612800235252109,0.8646758322762023,0.48117288282655596,0.48642823464702634,0.5197845082098062,0.4318710127671069,0.8365069281283022
54,"Danbury, CT M.S.A.",0.08814970672609745,0.1500176491351924,0.11237489103836501,0.10388452703397673,0.07655893123731995,0.1658298077221179,0.13963498721935957,0.17379990758858077,0.15585067466199684
55,"Daytona Beach, FL M.S.A.",0.5984041981942192,0.37063183903988706,0.5104130564920131,0.46216614667260936,0.6493473351112021,0.3784960715176743,0.4888186226143283,0.3417108521919708,0.4081696677165021
56,"Dayton-Springfield, OH M.S.A.",0.35448897656128475,0.37063183903988706,0.47995631032273656,0.6459354750231424,0.22240369524441447,0.42793400959477423,0.44419697380593787,0.39955721587400844,0.6062602448569842
57,"Denver, CO M.S.A.",0.3062042444169701,0.33533356865513586,0.4389972378881922,0.34628175677992246,0.26770106289316214,0.38309267505797834,0.319660259998038,0.3621231784366765,0.6882751218178623
58,"Des Moines, IA M.S.A.",0.19073328355939217,0.33533356865513586,0.27831164602959557,0.24102581684780738,0.15490423753684407,0.3784765115026092,0.2840783417672095,0.4116783215055318,0.313830150775164
59,"Detroit, MI M.S.A.",0.6474621733799907,0.9354041651959053,0.4463488662738797,0.7834196180615076,0.6022635924002503,0.3846379162481231,0.35327074762418553,0.3129249422154085,1.0293315227316786
60,"Dothan, AL M.S.A.",0.3566368738986653,0.9707024355806565,0.5230158480103343,0.32125347138889837,0.33252095800742637,0.3186033053882658,0.29778218865340694,0.34046167822541507,0.1771386891737002
61,"Dover, DE M.S.A.6",0.0,0.061771973173314496,0.0,0.32879624232865906,0.6702734429827362,0.3395814215456109,0.2994170335450937,0.3630978086743188,0.22901421927327215
62,"Dubuque, IA M.S.A.",0.14038656997119225,0.09707024355806565,0.39698793282712125,0.01919978057393629,0.1517142820686224,0.2339377801788783,0.20257651554929818,0.2542000386008482,0.13321815397060693
63,"Dutchess County, NY M.S.A.",0.18059520812695598,0.18531591951994353,0.15753489397901638,0.20948332019062632,0.16830205050337504,0.20494983785236512,0.15040573003517796,0.23148154503327048,0.10812070528312505
64,"Eau Claire, WI M.S.A.",0.12053999857379605,0.12354394634662899,0.1428316372076415,0.08605615935817874,0.1279810133850532,0.289273062798113,0.23065738074768177,0.320721984116547,0.15865172920301043
65,"Elkhart-Goshen, IN M.S.A.",0.3591284348100267,0.24708789269325798,0.39383723494754097,0.47005177083690464,0.307001314261653,0.4912302183455142,0.4968966797261921,0.48794656939765363,0.4870473635914451
66,"El Paso, TX M.S.A.",0.5635223454351591,0.3176844334627603,0.33502420786204146,0.35965303253677094,0.6577688175473073,0.4436504816996011,0.18392005031475564,0.5199858225618388,0.4098503004411103
67,"Enid, OK M.S.A.",0.3318071806785462,0.0,0.4305953768759781,0.15805533651043985,0.3815186739993111,0.45102460737915256,0.4905015511792999,0.46793233155987224,0.20481310803891462
68,"Erie, PA M.S.A.",0.22200666879165284,0.18531591951994353,0.3707321171639518,0.323996297185175,0.1615393449107451,0.23485710088693912,0.21156816245357513,0.250713333243649,0.1512569452147345
69,"Eugene-Springfield, OR M.S.A.",0.26814350359858696,0.1941404871161313,0.33922513836814855,0.2934823602015976,0.2451161781781527,0.5180567790073312,0.433185812623695,0.5394235185689022,0.5227888195347788
70,"Fargo-Moorhead, ND-MN M.S.A.7",0.10163850200484727,0.10589481115425345,0.4001386307067016,0.05554222237460142,0.08025927958045709,0.2534782352289368,0.15208865860014958,0.285511750883413,0.21915450728890426
71,"Fayetteville, NC M.S.A.",0.47477122745459516,0.9177550300035299,0.30981862482539885,0.7570199197723453,0.37245920046956155,0.5481498621850239,0.8057861969084118,0.4930668099418872,0.3776941943102742
72,"Fayetteville-Springdale-Rogers, AR M.S.A.",0.20224601328775188,0.3882809742322626,0.32347164897024694,0.07679912229574516,0.22686963289992482,0.2749160117403122,0.22426225220078963,0.30317863983898546,0.15226532484949945
73,"Fitchburg-Leominster, MA M.S.A.",0.47339657315867156,0.061771973173314496,0.4221935158637639,0.23622587170432333,0.5629633410317594,0.26677904547322084,0.30759125800352727,0.24928570585329968,0.3048667762439205
74,"Flagstaff, AZ-UT M.S.A.",0.34374948987438203,0.1411930815390046,0.46630328617788847,0.20091198957726195,0.3771803345625297,0.49370456025125237,0.3284114885358905,0.5697331462409333,0.24055456398224817
75,"Flint, MI M.S.A.",0.5641237566896257,0.9442287327920931,0.557673524685718,0.5804505091370383,0.5403784563167501,0.47748930776226484,0.5150242245546006,0.40702480530045093,0.9479888988606436
76,"Florence, AL M.S.A.",0.16341202942791164,0.12354394634662899,0.1512334982198557,0.12308430760791302,0.17685113115820908,0.2599819402380904,0.2436880562078906,0.2847979371882383,0.08604839549993787
