,Metropolitan Statistical Area,All Violent,Murder,Rape,Robbery,Assault,All Property,Burglary,Larceny,Car Theft
0,"Abilene, TX M.S.A.",0.25982164408490394,0.26296477495107634,0.40509673773766586,0.2594569095144029,0.24157468864746742,0.3006916886252528,0.3942255419658634,0.283060997479787,0.18377001916169475
1,"Akron, OH M.S.A.",0.1742610422563404,0.33023483365949124,0.3764454949900117,0.3125276410059854,0.09566436487630134,0.28635106823938067,0.30682733000257784,0.28020767280265746,0.2559955179690458
2,"Albany, GA M.S.A.",0.24516906395524168,0.2935420743639922,0.24273969550095892,0.37337135842310265,0.19733854052238065,0.317245174643187,0.4692357575744514,0.27999507214044,0.20933582072551177
3,"Albany-Schenectady-Troy, NY M.S.A.",0.23921645327756638,0.1834637964774951,0.21170084919100024,0.2867963772524909,0.225811250562804,0.20815793636439617,0.1913496596353116,0.22065710836468355,0.13255404045134178
4,"Albuquerque, NM M.S.A.",0.5487522085166815,0.568737769080235,0.3788330985523162,0.45270942166304406,0.6040352431066979,0.3842723272864237,0.3942255419658634,0.35464028359585603,0.5459100201910766
5,"Alexandria, LA M.S.A.",0.643012779797232,0.45865949119373783,0.28651242747654165,0.3071669610573407,0.8127037547524302,0.3742870643459882,0.4562373382109718,0.355255706565433,0.28788948823677796
6,"Allentown-Bethlehem-Easton, PA-NJ M.S.A.",0.1955203661051807,0.25073385518590996,0.15041902442518437,0.2902808192191099,0.16502349244882056,0.1995332339185854,0.15867407504755898,0.21747928793995888,0.14031659406147767
7,"Altoona, PA M.S.A.",0.17360690921483762,0.3363502935420744,0.25547358116658303,0.20156156606904035,0.15044231222050686,0.1904784692474622,0.2147970846197099,0.19249311537513442,0.09914130969467003
8,"Amarillo, TX M.S.A.",0.44239017596832964,0.2813111545988259,0.3183471416406019,0.39320587423308795,0.477829216941361,0.41830197827841703,0.42058145305092964,0.41467199690095374,0.3986746283466518
9,"Ames, IA M.S.A.",0.12238829206517,0.0,0.29606284172575975,0.05977158142738829,0.12571341872519107,0.2150311126562073,0.2820154300573723,0.21068725625753687,0.06901922666403411
10,"Anchorage, AK M.S.A.",0.4930200733806448,0.3363502935420744,0.6223686619073767,0.3647942705052711,0.5260062245876137,0.33436165121062117,0.2317452999223683,0.3516526848162733,0.4117528436680763
11,"Anderson, IN M.S.A.",0.0996244622208733,0.14065557729941294,0.13370579948905278,0.15519168451326376,0.07428520197397653,0.24942827136801302,0.23267888805344697,0.2646542559351671,0.14909165466423993
12,"Anderson, SC M.S.A.",0.40647827198982706,0.5565068493150686,0.30800085953728235,0.24391093766333338,0.4754647012286615,0.39050431989686,0.42517757923470145,0.374602366827225,0.38998394332660835
13,"Ann Arbor, MI M.S.A.",0.22528341949355715,0.1467710371819961,0.33983557370134254,0.21549933393551654,0.2156635372958019,0.2340242243886411,0.24445646139936217,0.22786315186300285,0.23262348155591936
14,"Appleton, WI M.S.A.",0.07300124743171017,0.05503913894324854,0.1408686101759663,0.02626733174835898,0.08187135655222082,0.16752096572896674,0.11637535126253422,0.1959394840047654,0.05670039158707937
15,"Asheville, NC M.S.A.",0.16817760497036457,0.22015655577299417,0.16156117438260545,0.2192518098995678,0.14916153287612796,0.2555586129070118,0.3089099496795994,0.2333795795721199,0.2719425031029119
16,"Athens-Clarke County, GA M.S.A.",0.1831572516207782,0.17123287671232879,0.20533390635818818,0.22970513579942498,0.16334862715232507,0.32622956549562276,0.2668625765452497,0.35289472026396507,0.2320328524768873
17,"Atlanta-Sandy Springs-Marietta, GA M.S.A.",0.32183345641936745,0.4219667318982388,0.17668266361053403,0.5250786009697475,0.2631508945258506,0.3217803762919361,0.3364148923106088,0.28763750647173203,0.5127504161825616
18,"Atlantic City, NJ M.S.A.",0.3376634760237347,0.3608121330724071,0.24831077047966946,0.5593869526410733,0.26630358214278327,0.3123268266482505,0.24280472855206922,0.352044317615095,0.14504162669373427
19,"Auburn-Opelika, AL M.S.A.",0.26067201703885756,0.29965753424657543,0.2817372203519326,0.2538281955683261,0.2596041209568013,0.3382713078043704,0.3544762319233995,0.35111558840646073,0.16951054568220603
20,"Augusta-Richmond County, GA-SC M.S.A.",0.2566163921815403,0.3118884540117417,0.3788330985523162,0.4063395401072674,0.1852203974947956,0.35331566637711737,0.32496048408698996,0.34826226372933117,0.4228060450042481
21,"Austin-Round Rock, TX M.S.A.",0.22646085896826218,0.17734833659491195,0.27855374893552665,0.2589208415195385,0.2084714686696742,0.32326604579756085,0.28129728534115794,0.3480160945415004,0.20300765202159668
22,"Bakersfield, CA M.S.A.",0.344793526176115,0.568737769080235,0.22045539558611676,0.3449597546952858,0.35605665773733575,0.3591801512677412,0.41124557174014326,0.2966674398617067,0.6723890186866599
